Alka, Alca torda, ALCTOR  
Apácahantmadár, Oenanthe pleschanka, OENPLE  
Apácalúd, Branta leucopsis, BRALEU  
Apró partfutó, Calidris minuta, CALMIN  
Aranylile, Pluvialis apricaria, PLUAPR  
Ázsiai pettyeslile, Pluvialis fulva, PLUFUL  
Bajszos poszáta, Sylvia cantillans, SYLCAN  
Bajszos sármány, Emberiza cia, EMBCIA  
Bakcsó, Nycticorax nycticorax, NYCNYC  
Balkáni fakopáncs, Dendrocopos syriacus, DENSYR  
Balkáni gerle, Streptopelia decaoto, STRDEC  
Barátcinege, Parus palustris, PARPAL  
Barátkeselyű, Aegypius monachus, AEGMON  
Barátposzáta, Sylvia atricapilla, SYLATR  
Barátréce, Aythya ferina, AYTFER  
Barázdabillegető, Motacilla alba, MOTALB  
Barkóscinege, Panurus biarmicus, PANBIA  
Barna füzike, Phylloscopus fuscatus, PHYFUS  
Barnahasú pusztaityúk, Pterocles exustus, PTEEXU  
Barna kánya, Milvus migrans, MILMIG  
Barna rétihéja, Circus aeruginosus, CIRAER  
Barna zsezse, Carduelis cabaret, CARCAB  
Batla, Plegadis falcinellus, PLEFAL  
Békászó sas, Aquila pomarina, AQUPOM  
Berki poszáta, Cettia cetti, CETCET  
Berki tücsökmadár, Locustella fluviatilis, LOCFLU  
Bíbic, Vanellus vanellus, VANVAN  
Billegetőcankó, Actitis hypoleucos, ACTHYP  
Böjti réce, Anas querquedula, ANAQUE  
Bölömbika, Botaurus stellaris, BOTSTE  
Bonaparte-partfutó, Calidris fuscicollis, CALFUS  
Bonelli-füzike, Phylloscopus bonelli, PHYBON  
Borzas gödény, Pelecanus crispus, PELCRI  
Búbosbanka, Upupa epops, UPUEPO  
Búbos cinege, Parus cristatus, PARCRI  
Búbos pacsirta, Galerida cristata, GALCRI  
Búbos vöcsök, Podiceps cristatus, PODTUS  
Bütykös ásólúd, Tadorna tadorna, TADTAD  
Bütykös hattyú, Cygnus olor, CYGOLO  
Cankópartfutó, Tryngites subruficollis, TRYSUB  
Cifra pehelyréce, Somateria spectabilis, SOMSPE  
Cigánycsuk, Saxicola torquata, SAXTOR  
Cigányréce, Aythya nyroca, AYTNYR  
Citrombillegető, Motacilla citreola, MOTCIT  
Citromsármány, Emberiza citrinella, EMBCIT  
Császármadár, Bonasa bonasa, BONBON  
Cserregő nádiposzáta, Acrocephalus scirpaceus, ACRSCI  
Csicsörke, Serinus serinus, SERSER  
Csigaforgató, Haematopus ostralegus, HAEOST  
Csíkosfejű nádiposzáta, Acrocephalus paludicola, ACROLA  
Csilpcsalpfüzike, Phylloscopus collybita, PHYCOL  
Csíz, Carduelis spinus, CARSPI  
Csóka, Corvus monedula, CORMON  
Csonttollú, Bombycilla garrulus, BOMGAR  
Csörgő réce, Anas crecca, ANACRE  
Csüllő, Rissa tridactyla, RISTRI  
Csuszka, Sitta europaea, SITEUR  
Dankasirály, Larus ridibundus, LARRID  
Darázsölyv, Pernis apivorus, PERAPI  
Daru, Grus grus, GRUGRU  
Déli hantmadár, Oenanthe hispanica, OENHIS  
Dögkeselyű, Neophron percnopterus, NEOPER  
Dolmányos sirály, Larus marinus, LARMAR  
Dolmányos varjú, Corvus cornix, CORNIX  
Egerészölyv, Buteo buteo, BUTBUT  
Ékfarkú halfarkas, Stercorarius parasiticus, STECUS  
Ékfarkú lile, Charadrius vociferus, CHAVOC  
Eleonóra-sólyom, Falco eleonorae, FALELE  
Énekes hattyú, Cygnus cygnus, CYGCYG  
Énekes nádiposzáta, Acrocephalus palustris, ACRRIS  
Énekes rigó, Turdus philomelos, TURPHI  
Erdei cankó, Tringa ochropus, TRIOCH  
Erdei fülesbagoly, Asio otus, ASIOTU  
Erdei pacsirta, Lullula arborea, LULARB  
Erdei pinty, Fringilla coelebs, FRICOE  
Erdei pityer, Anthus trivialis, ANTTRI  
Erdei szalonka, Scolopax rusticola, SCORUS  
Erdei szürkebegy, Prunella modularis, PRUMOD  
Északi búvár, Gavia stelleta, GAVSTE  
Ezüstlile, Pluvialis squatarola, PLUSQU  
Ezüstsirály, Larus argentatus, LARARG  
Fácán, Phasianus colchicus, PHACOL  
Fakó keselyű, Gyps fulvus, GYPFUL  
Fakó rétihéja, Circus macrourus, CIRMAC  
Fattyúszerkő, Chlidonias hybridus, CHLHYB  
Fecskesirály, Larus sabini, LARSAB  
Fehérfarkú lilebíbic, Chettusia leucura, CHELEU  
Fehér gólya, Ciconia ciconia, CICCIC  
Fehérhátú fakopáncs, Dendrocopos leucotos, DENLEU  
Fehérkarmú vércse, Falco naumanni, FALNAU  
Fehérszárnyú szerkő, Chlidonias leucopterus, CHLLEU  
Fekete gólya, Ciconia nigra, CICNIG  
Fekete harkály, Dryocopos martius, DRYMAR  
Feketenyakú vöcsök, Podiceps nigricollis, PODNIG  
Fekete réce, Melanitta nigra, MELNIG  
Fekete rigó, Turdus merula, TURMER  
Fekete sas, Aquila clanga, AQUCLA  
Feketeszárnyú székicsér, Glareola nordmanni, GLANOR  
Fenyérfutó, Caladris alba, CALALB  
Fenyőpinty, Fringilla montifringilla, FRIMON  
Fenyőrigó, Turdus pilaris, TURPIL  
Fenyősármány, Emberiza leucocephalos, EMBLEU  
Fenyőszajkó, Nucifraga caryocatactes, NUCCAR  
Fenyvescinege, Parus ater, PARATE  
Fitiszfüzike, Phylloscopus trochilus, PHYTRO  
Fogoly, Perdix perdix, PERPER  
Foltos nádiposzáta, Acrocephalus schoenobaenus, ACRSCH  
Függőcinege, Remiz pendulinus, REMPEN  
Fülemüle, Luscinia megarhynchos, LUSMEG  
Fülemülesitke, Acrocephalus melanopogon, ACRMEL  
Füleskuvik, Otus scops, OTUSCO  
Füles vöcsök, Podiceps auritus, PODAUR  
Fürj, Coturnix coturnix, COTCOT  
Füsti fecske, Hirundo rustica, HIRRUS  
Füstös cankó, Tringa erythropus, TRIERY  
Füstös réce, Melanitta fusca, MELFUS  
Fütyülő réce, Anas penelope, ANAPEN  
Gatyáskuvik, Aegolius funereus, AEGFUN  
Gatyás ölyv, Buteo lagopus, BUTLAG  
Gólyatöcs, Himantopus himantopus, HIMHIM  
Gulipán, Recurvirostra avosetta, RECAVO  
Guvat, Rallus aquaticus, RALAQU  
Gyöngybagoly, Tyto alba, TYTALB  
Gyurgyalag, Merops apiaster, MERAPI  
Gyűrűscsőrű sirály, Larus delawarensis, LARDEL  
Hajnalmadár, Tichodroma muraria, TICMUR  
Halászsas, Pandion haliaetus, PANHAL  
Halászsirály, Larus ichtyaetus, LARICH  
Halcsontfarkú réce, Oxyura jamaicensis, OXYJAM  
Halvány geze, Hippolais pallida, HIPPAL  
Halvány sarlósfecske, Apus pallidus, APUPAL  
Hamvas küllő, Pica canus, PICCAN  
Hamvas rétihéja, Circus pygargus, CIRPYG  
Hantmadár, Oenanthe oenanthe, OENOEN  
Haris, Crex crex, CRECRE  
Havasi csóka, Pyrrhocorax graculus, PYRGRA  
Havasi fülespacsirta, Eremophila alpestris, EREALP  
Havasi lile, Charadrius morinellus, CHAMOR  
Havasi partfutó, Caladris alpina, CALALP  
Havasipinty, Montifringilla nivalis, MONNIV  
Havasi pityer, Anthus spinoletta, ANTSPI  
Havasi sarlósfecske, Apus melba, APUMEL  
Havasi szürkebegy, Prunella collaris, PRUCOL  
Havasi varjú, Pyrrhocorax pyrrhocorax, PYRRAX  
Házi rozsdafarkú, Phoenicurus ochruros, PHOOCH  
Házi veréb, Passer domesticus, PASDOM  
Hegyi billegető, Motacilla cinerea, MOTCIN  
Hegyi fakusz, Certhia familiaris, CERFAM  
Hegyi réce, Aythya marila, AYTMAR  
Héja, Accipiter gentilis, ACCGEN  
Héjasas, Hieraaetus fasciatus, HIEFAS  
Heringsirály, Larus fuscus, LARFUS  
Hóbagoly, Nyctea scandiaca, NYCSCA  
Holló, Corvus corax, CORRAX  
Hósármány, Plectrophenax nivalis, PLENIV  
Hosszúcsőrű cankógoda, Limnodromus scolopaceus, LIMSCO  
Indiai lúd, Anser indicus, ANSIND  
Jeges búvár, Gavia immer, GAVIMM  
Jegesréce, Clangula hyemalis, CLAHYE  
Jeges sirály, Larus hyperboreus, LARHYP  
Jégmadár, Alcedo atthis, ALCATT  
Kabasólyom, Falco subbuteo, FALSUB  
Kacagócsér, Gelochelidon nilotica, GELNIL  
Kakukk, Cuculus canorus, CUCCAN  
Kalandrapacsirta, Melanocorypha calandra, MELCAL  
Kanadai lúd, Branta canadensis, BRACAN  
Kanalasgém, Platalea leucorodia, PLALEU  
Kanalas réce, Anas clypeata, ANACLY  
Karmazsinpirók, Carpodacus erythrinus, CARERY  
Kárókatona, Phalacrocorax carbo, PHACAR  
Karvaly, Accipiter nisus, ACCNIS  
Karvalybagoly, Surnia ulula, SURULU  
Karvalyposzáta, Sylvia nisoria, SYLNIS  
Kékbegy, Luscinia svecica, LUSSVE  
Kék cinege, Parus caeruleus, PARCAE  
Kékcsőrű réce, Oxyura leucocephala, OXYLEU  
Kékes rétihéja, Circus cyaneus, CIRCYA  
Kék fú, Porphyrio porphyrio, PORRIO  
Kék galamb, Columba oenas, COLOEN  
Kék vércse, Falco vespertinus, FALVES  
Keleti gerle, Streptopelia orientalis, STRORI  
Kenderike, Carduelis cannabina, CARCAN  
Kendermagos réce, Anas strepera, ANASTR  
Kenti csér, Sterna sandvicensis, STESAN  
Kerceréce, Bucephala clangula, BUCCLA  
Kerecsensólyom, Falco cherrug, FALCHE  
Keresztcsőrű, Loxia curvirostra, LOXCUR  
Kerti geze, Hippolais icterina, HIPICT  
Kerti poszáta, Sylvia borin, SYLBOR  
Kerti rozsdafarkú, Phoenicurus phoenicurus, PHOPHO  
Kerti sármány, Emberiza hortulana, EMBHOR  
Kígyászölyv, Circaetus gallicus, CIRGAL  
Királyfüzike, Phylloscopus proregulus, PHYPRO  
Kis bukó, Mergus albellus, MERALB  
